agent,blocked_egress_line_count,proxy_access_line_count,proxy_denied_count,reason,repo_slug,run_id,status,step,variant
claude,0,64,0,,awaitility_awaitility,20260510T154759Z__awaitility_awaitility__4fc23ccb,passed,andvari-v2,v2
claude,0,62,0,,awaitility_awaitility,20260510T154759Z__awaitility_awaitility__4fc23ccb,passed,andvari-v3,v3
claude,0,58,0,,DantSu_ESCPOS-ThermalPrinter-Android,20260510T154807Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,passed,andvari,generated
claude,0,58,0,,DantSu_ESCPOS-ThermalPrinter-Android,20260510T154807Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,passed,andvari-v2,v2
claude,0,36,1,,DantSu_ESCPOS-ThermalPrinter-Android,20260510T154807Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,passed,andvari-v3,v3
claude,0,64,0,,elvishew_xLog,20260510T154813Z__elvishew_xLog__3faa6b27,passed,andvari,generated
claude,0,48,0,,elvishew_xLog,20260510T154813Z__elvishew_xLog__3faa6b27,passed,andvari-v2,v2
claude,0,58,0,,elvishew_xLog,20260510T154813Z__elvishew_xLog__3faa6b27,passed,andvari-v3,v3
claude,0,60,0,,EsotericSoftware_reflectasm,20260510T154820Z__EsotericSoftware_reflectasm__e34c5e8b,passed,andvari,generated
claude,0,48,0,,EsotericSoftware_reflectasm,20260510T154820Z__EsotericSoftware_reflectasm__e34c5e8b,passed,andvari-v2,v2
claude,0,60,0,,EsotericSoftware_reflectasm,20260510T154820Z__EsotericSoftware_reflectasm__e34c5e8b,passed,andvari-v3,v3
claude,0,42,0,,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,passed,andvari,generated
claude,0,66,1,,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,passed,andvari-v2,v2
claude,0,42,0,,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,passed,andvari-v3,v3
claude,0,28,1,,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,passed,andvari,generated
claude,0,46,0,,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,passed,andvari-v2,v2
claude,0,26,0,,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,passed,andvari-v3,v3
claude,0,68,0,,frohoff_ysoserial,20260510T154845Z__frohoff_ysoserial__218bcffc,passed,andvari,generated
claude,0,56,0,,frohoff_ysoserial,20260510T154845Z__frohoff_ysoserial__218bcffc,passed,andvari-v2,v2
claude,4,106,0,runner-timeout,frohoff_ysoserial,20260510T154845Z__frohoff_ysoserial__218bcffc,error,andvari-v3,v3
claude,0,86,0,,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,passed,andvari,generated
claude,0,72,0,,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,passed,andvari-v2,v2
claude,0,62,0,,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,passed,andvari-v3,v3
claude,0,56,0,,Grt1228_chatgpt-java,20260511T105134Z__Grt1228_chatgpt-java__ae761b89,passed,andvari,generated
claude,0,58,0,,Grt1228_chatgpt-java,20260511T105134Z__Grt1228_chatgpt-java__ae761b89,passed,andvari-v2,v2
claude,0,56,0,,Grt1228_chatgpt-java,20260511T105134Z__Grt1228_chatgpt-java__ae761b89,passed,andvari-v3,v3
claude,0,52,0,,happyfish100_fastdfs-client-java,20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,passed,andvari,generated
claude,0,54,0,,happyfish100_fastdfs-client-java,20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,passed,andvari-v2,v2
claude,0,48,0,,happyfish100_fastdfs-client-java,20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,passed,andvari-v3,v3
claude,0,66,0,,j-easy_easy-rules,20260511T105145Z__j-easy_easy-rules__d4450831,passed,andvari,generated
claude,0,64,0,,j-easy_easy-rules,20260511T105145Z__j-easy_easy-rules__d4450831,passed,andvari-v2,v2
claude,0,62,0,,j-easy_easy-rules,20260511T105145Z__j-easy_easy-rules__d4450831,passed,andvari-v3,v3
claude,0,44,4,,JakeWharton_RxRelay,20260511T105150Z__JakeWharton_RxRelay__9540ecc7,passed,andvari,generated
claude,0,30,0,,JakeWharton_RxRelay,20260511T105150Z__JakeWharton_RxRelay__9540ecc7,passed,andvari-v2,v2
claude,0,48,1,,JakeWharton_RxRelay,20260511T105150Z__JakeWharton_RxRelay__9540ecc7,passed,andvari-v3,v3
claude,0,46,0,,jOOQ_jOOR,20260511T105155Z__jOOQ_jOOR__23e17cf3,passed,andvari,generated
claude,0,46,0,,jOOQ_jOOR,20260511T105155Z__jOOQ_jOOR__23e17cf3,passed,andvari-v2,v2
claude,0,46,0,,jOOQ_jOOR,20260511T105155Z__jOOQ_jOOR__23e17cf3,passed,andvari-v3,v3
claude,0,82,0,,LianjiaTech_retrofit-spring-boot-starter,20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,passed,andvari,generated
claude,0,50,0,,LianjiaTech_retrofit-spring-boot-starter,20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,passed,andvari-v2,v2
claude,0,130,0,,LianjiaTech_retrofit-spring-boot-starter,20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,passed,andvari-v3,v3
claude,0,58,0,,linkedin_kafka-monitor,20260511T105205Z__linkedin_kafka-monitor__043db641,passed,andvari,generated
claude,0,86,0,,linkedin_kafka-monitor,20260511T105205Z__linkedin_kafka-monitor__043db641,passed,andvari-v2,v2
claude,0,72,0,,linkedin_kafka-monitor,20260511T105205Z__linkedin_kafka-monitor__043db641,passed,andvari-v3,v3
claude,0,66,1,,macrozheng_mall-tiny,20260511T105211Z__macrozheng_mall-tiny__a81ec474,passed,andvari,generated
claude,0,38,0,,macrozheng_mall-tiny,20260511T105211Z__macrozheng_mall-tiny__a81ec474,passed,andvari-v2,v2
claude,0,48,0,,macrozheng_mall-tiny,20260511T105211Z__macrozheng_mall-tiny__a81ec474,passed,andvari-v3,v3
claude,0,64,0,,mbechler_marshalsec,20260511T105217Z__mbechler_marshalsec__243c5aa8,passed,andvari,generated
claude,0,92,0,,mbechler_marshalsec,20260511T105217Z__mbechler_marshalsec__243c5aa8,passed,andvari-v2,v2
claude,0,66,0,,mbechler_marshalsec,20260511T105217Z__mbechler_marshalsec__243c5aa8,passed,andvari-v3,v3
claude,0,56,0,,Meituan-Dianping_walle,20260513T080244Z__Meituan-Dianping_walle__f78edcf1,passed,andvari,generated
claude,0,54,0,,Meituan-Dianping_walle,20260513T080244Z__Meituan-Dianping_walle__f78edcf1,passed,andvari-v2,v2
claude,0,52,0,,Meituan-Dianping_walle,20260513T080244Z__Meituan-Dianping_walle__f78edcf1,passed,andvari-v3,v3
claude,0,52,1,runner-timeout,Mojang_brigadier,20260513T080251Z__Mojang_brigadier__b5419b18,error,andvari,generated
claude,0,50,0,,Mojang_brigadier,20260513T080251Z__Mojang_brigadier__b5419b18,passed,andvari-v2,v2
